Developer_ID,Years_Experience,Git_Commits_Per_Month,Pull_Requests,PR_Acceptance_Rate,Bugs_Fixed,Bugs_Introduced,Unit_Test_Coverage,Story_Points_Completed,Tasks_Completed,Deadline_Missed,Attendance_Percentage,Overtime_Hours,Code_Review_Score,Team_Feedback_Score,Training_Completed,Performance_Rating,Performance_Category
DEV_0001,6.243561663863074,138,29,70.95844509284535,53,28,46.3160253606562,196,21,8,93.75771444601627,9.977122546457256,4.565554224483298,4.593843242283773,7,2.753807681363006,Average
DEV_0002,14.310000289738827,156,46,68.58356478833497,15,16,73.5841023342898,167,62,9,81.35674118210343,34.01141212156457,7.25920486020876,2.371744119973757,0,2.9907772079196855,Average
DEV_0003,11.247915185359671,135,35,75.09036332911903,89,25,55.87468042821406,137,80,8,86.01927133893632,3.609920448958792,4.4970229114331115,9.932351519425376,0,3.849537701809629,Good
DEV_0004,9.381218778758512,139,7,61.55852529240934,30,3,71.96810217824367,105,19,6,94.16344177290563,1.5326251102903032,5.038242603602776,9.343008711318658,11,3.189816973803149,Average
DEV_0005,3.1842609661941115,62,44,84.73015537351571,67,0,48.489949340081125,82,54,3,81.34701202937543,12.884144425560685,3.1378971778689473,5.859614172525037,6,2.7692092489624445,Average
DEV_0006,3.183923284706837,181,28,73.46216859554906,93,7,66.46270560201496,123,26,4,91.64340920352547,23.131147836965816,4.35926612466406,8.578299649387791,7,4.375169623727881,Good
DEV_0007,1.8131705703547925,169,36,86.22890541522969,90,16,69.29241879033722,68,35,0,86.91766113905913,43.413625270419026,3.045426645368363,5.6886217954483795,2,4.290225952615149,Good
DEV_0008,13.126466040849092,169,26,75.4158648386226,63,2,42.85029452523348,90,94,0,92.41831035534955,36.3584534883154,1.6587633139159927,6.612271192024838,4,4.476912741656338,Good
DEV_0009,9.415610164404923,77,27,87.26454675891159,31,28,58.51323530066563,20,71,2,80.91484067625025,37.13532605999905,6.431037340432401,1.8021198890441497,11,2.2096147240642248,Poor
DEV_0010,10.913016089144637,192,6,73.6249827785696,53,19,47.39280723164359,160,55,7,97.43073612304752,21.27466672240377,7.013915186995146,7.797433784471272,0,4.1971294204428204,Good
DEV_0011,1.2881829201412343,193,31,70.42778112943613,81,14,43.48562337600222,198,73,1,99.46977938354794,17.296749627348145,6.575413114086531,2.1494213527171135,6,4.657716735078747,Excellent
DEV_0012,14.57873793026792,132,46,79.84149817173625,37,14,94.447812781447,142,11,3,99.37755710571383,18.551938149230136,5.171446394205152,8.434608672272756,4,3.4764757986021864,Average
DEV_0013,12.654196971205904,154,6,87.71561434767757,5,23,57.72946147360976,81,63,1,94.9930366348585,49.38247818680289,4.418072021613068,8.038252789033473,7,3.2112965241525604,Average
